"Parcel","TaxPayer","Address","City","State","Zip","Zip4","Phone","Email","SitusAddress","YearBuilt","AgentName""AgentContact","AgentAddress","AgentCity","AgentState","AgentZip","AgentZip4","AgentPhone","AgentEmail"
"101116310","YAROSHEVSKAYA IRINA","2541 W FIREBROOK RD","TUCSON","AZ","85741","3774","5209711106","IRINAYAR@GMAIL.COM","2834 W DUSKYWING DR","2008","OWNER AGENT","","","  ","     ","    ","          ",""
"101121510","POLITO NECOLANIA G","512 N VALENCIA PL","CHANDLER","AZ","85226","4023","5202087116","quinlanbusiness@gmail.com","5920 N JAYNES CI","1979","OWNER AGENT","","","  ","     ","    ","          ",""
"101121760","BEEBE JAMES E & MARIA M CP/RS","43391 W SUNLAND DR","MARICOPA","AZ","85138","1710","4808683211","MARIA.M.RILEYE@GMAIL.COM","2351 W PLACITA ALGODON","1980","OWNER AGENT","","","  ","     ","    ","          ",""
"101130660","YAROSHEVSKAYA IRINA","2541 W FIREBROOK RD","TUCSON","AZ","85741","3774","5209711106","IRINAYAR@GMAIL.COM","2456 W WATERWAY PL","2005","OWNER AGENT","","","  ","     ","    ","          ",""
"101131350","SHOSHITAISHVILI YAN & HUNDTOFT BROOKE CP/RS","2541 W FIREBROOK RD","TUCSON","AZ","85741","3774","5203056267","YANS@YANCOMM.NET","2454 W RAU RIVER RD","2005","OWNER AGENT","","","  ","     ","    ","          ",""
"101131440","SEARS TAMICA","5310 S PALM DR","TEMPE","AZ","85283","1919","5203312156","","2453 W TYLER RIVER DR","2005","CENTURY 21 1ST AMERICAN 01","8830 E SPEEDWAY BLVD","TUCSON","AZ","85710","1832","5208866023","TJOHNJES@GMAIL.COM"
"101131530","VELAZQUEZ-TORRES MARIANNA & OSUNA","390 N 2ND ST UNIT 107","SAN JOSE","CA","95112","4039","5202035821","MARIANNAVT@GMAIL.COM","5596 N MORNING SPRING AV","2012","FOOTHILLS PROPERTIES (RIVER RD) 01","2484 E RIVER RD","TUCSON","AZ","85718","6522","5202992100","MANAGER@TUCSONFOOTHILLS.COM"
"101131840","PRESCOTT QIAN","2225 W FLORAL CLIFF WAY","TUCSON","AZ","85741","3885","5202710330","","2243 W DISTANT SONG ST","2009","OWNER AGENT","","","  ","     ","    ","          ",""
"101132390","SPEROS COREY","3036 N 85TH PL","SCOTTSDALE","AZ","85251","7304","9494818878","COREYPEROS@YAHOO.COM","2221 W MORNING DREAM LN","2008","OWNER AGENT","","","  ","     ","    ","          ",""
"101132440","KUMAR DILIP & LATA KUSUM CP/RS","1304 GROVE AVE","ROYAL OAK","MI","48067","1452","4082477790","dilipks@gmail.com","2261 W MORNING DREAM LN","2008","AFFORDABLE HOME REALTY","1011 N CRAYCROFT STE 470","TUCSON","AZ","85711","7313","5208296700","ERIKAR.AHR@GMAIL.COM"
"101141070","ALBINAL INTERNATIONAL LLC","20442 PIERCE RD","SARATOGA","CA","95070","3800","4086211609","ASXWANG@YAHOO.COM","2810 W CARNAUBA ST","1968","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"101151670","TRAN HIEU","4074 E WADING DUCK CT","TUCSON","AZ","85712","6679","2819022164","KTMED@ICLOUD.COM","4925 N PLANE AV","1961","OWNER AGENT","","","  ","     ","    ","          ",""
"101152430","AKESON JANET G & AKESON HARVEY EST OF","4665 N BRITTAIN PL","TUCSON","AZ","85705","4802","5208874686","JANGON00@HOTMAIL.COM","2701 W JADE ST","1974","OWNER AGENT","","","  ","     ","    ","          ",""
"101161980","BIGGS DANIEL DENNIS","2609 W CURTIS RD","TUCSON","AZ","85705","1104","5208610196","","2451 W KIMBERLEY PL","1980","OWNER AGENT","","","  ","     ","    ","          ",""
"10117004A","SANTIAGO ACACIA GARDENS LLP","PO BOX 11927","SANTA ANA","CA","92711","1927","7147444993","AMOLSBERRY@SANTIAGOCORP.COM","5505 N SHANNON RD","1966","CT CORPORATION SYSTEM 01","2390 E CAMELBACK RD","PHOENIX","AZ","85016","3448","          ",""
"101230350","BALOGH FAMILY LIVING TR","13945 N SUTHERLAND WASH WAY","ORO VALLEY","AZ","85755","4721","5208181046","COLAME1@COMCAST.NET","6311 N QUINCE WY","1972","OWNER AGENT","","","  ","     ","    ","          ",""
"101234740","QUAY JASON W & VALERIE M CP/RS","2370 W DONATELLO WAY","TUCSON","AZ","85741","2605","5202716230","BIGQUAY@HOTMAIL.COM","6081 N APPLESAUCE CT","1998","KELLER WILLIAMS SOUTHERN AZ 05","1849 N KOLB RD STE 100","TUCSON","AZ","85715","4929","5206618657","ROB@STONEHOUSEGRP.COM"
"102027620","LOSCHI THOMAS P & LOSCHI EDWIN J","2121 NE 123RD ST","NORTH MIAMI","FL","33181","2903","7863555946","THOMAS.LOSCHI@HOTMAIL.COM","179 W LILLIAN LN","1982","EMS REALTY INC 06","6816 N ORACLE RD STE 300","TUCSON","AZ","85704","4232","5205442727","LINDA@EMSREALTY.COM"
"102091330","MARINOS LINDA","2660 N CAMINO DE OESTE","TUCSON","AZ","85745","9200","5204682642","SWIMTEAMTUCSON@GMAIL.COM","6644 N AMAHL PL","1970","OWNER AGENT","","","  ","     ","    ","          ",""
"102154550","DE LA ROSA FAMILY TR","566 E CHANNEL VIEW PL","TUCSON","AZ","85737","6624","5207446478","DELAROSADEB@HOTMAIL.COM","6205 N WINDEMERE ST","1986","OWNER AGENT","","","  ","     ","    ","          ",""
"102154900","ALDRICH HARLAND W & ALDRICH LYNN C REVOC TR","745 W SUNLIGHT LN","TUCSON","AZ","85704","5464","5202894212","LYNNALDRICH12@GMAIL.COM","6224 N ROCKGLEN RD","1985","OWNER AGENT","","","  ","     ","    ","          ",""
"102156200","COAH LLC","PO BOX 36266","TUCSON","AZ","85740","6266","5207608826","CLAMDAN@YAHOO.COM","725 W SUNLIGHT LN","1990","OWNER AGENT","","","  ","     ","    ","          ",""
"102156740","GREENOUGH PROPERTIES LLC","1445 W COOL DR","TUCSON","AZ","85704","2102","5203452189","S.GREENOUGH@HOTMAIL.COM","6094 N PANORAMA PARK DR","2001","OWNER AGENT","","","  ","     ","    ","          ",""
"102157060","STEICHEN DANIEL A & WENDT KRISTI JT/RS","14170 E GERONIMO RD","SCOTTSDALE","AZ","85259","3792","5202602617","KWENDT974@GMAIL.COM","6085 N PANORAMA VIEW DR","2005","OWNER AGENT","","","  ","     ","    ","          ",""
"10216116B","WERTMAN KENNETH FRANKLIN JR & CALDWELL","13951 N KINGAIR DR","TUCSON","AZ","85755","8682","5209904238","BARBIESBOAT@GMAIL.COM","6030 N ESCONDIDO LN","1977","OWNER AGENT","","","  ","     ","    ","          ",""
"10216149B","PC MISSION PALMS LLC","360 CENTRAL AVE STE 1130","ST PETERSBURG","FL","33701","3837","7273396630","TSTANCHAK@STONEWEG.COM","951 W ORANGE GROVE RD","1978","COGENCY GLOBAL INC","300 W CLARENDON AVE STE 240","PHOENIX","AZ","85013","3479","3026022321",""
"102162120","REHAK RANDALL W","10596 LANSFORD LN","SAN DIEGO","CA","92126","5901","5204447382","RDUB520@YAHOO.COM","859 W PALMA DE COCO","1984","WEBB RICHARD","9141 E PLACITA VIOLETA","TUCSON","AZ","85749","9221","5209095970","rrwebb983@gmail.com"
"102162360","BELL MARY L REVOC TR","6071 E AVENIDA ARRIBA","TUCSON","AZ","85750","1869","5208789365","RyAiral@aol.com","880 W SAFARI DR","1983","FOOTHILLS PROPERTIES (RIVER RD) 01","2484 E RIVER RD","TUCSON","AZ","85718","6522","5202992100","MANAGER@TUCSONFOOTHILLS.COM"
"102193280","KEMPEMA JAMES M","12000 PORTOFINO DR","AUSTIN","TX","78732","2044","5126307991","JKEMPPEMA@MAC.COM","113 E CALLE ZAVALA","1997","FOOTHILLS PROPERTIES (RIVER RD) 01","2484 E RIVER RD","TUCSON","AZ","85718","6522","5202992100","MANAGER@TUCSONFOOTHILLS.COM"
"10220003B","GR PARTNERS CASA ADOBES LLC","300 PLAZA DR STE 260","HIGHLANDS RANCH","CO","80129","2376","3033504709","DOUG.GORDON@GRCAP.NET","","1977","SLAVIN FRANCIS PC","2198 E CAMELBACK RD STE 285","PHOENIX","AZ","85016","4769","6023818700","J.MORITZ@FJSLEGAL.COM"
"10220003C","GR PARTNERS CASA ADOBES LLC","300 PLAZA DR STE 260","HIGHLANDS RANCH","CO","80129","2376","3033504709","DOUG.GORDON@GRCAP.NET","6200 N ORACLE RD","1977","SLAVIN FRANCIS PC","2198 E CAMELBACK RD STE 285","PHOENIX","AZ","85016","4769","6023818700","J.MORITZ@FJSLEGAL.COM"
"102202250","HARANT JOYCE A LIVING TR","3914 N DONNA LN","PEORIA","IL","61615","4212","3096483035","J.A.HARANT@GMAIL.COM","6095 N SERENDIPITY LN","1994","HARANT WILLIAM","60803 E ARROYO VISTA DR","ORACLE","AZ","85623","7305","5202993339","WILLIAMHARANT@GMAIL.COM"
"102202260","GOMEZ ROSA D DELGADO","6116 N RELIANCE DR","TUCSON","AZ","85704","5327","5203739893","","6116 N RELIANCE DR","1993","ROMERO MARIANO DR","1918 E PRINCE RD STE 419","TUCSON","AZ","85719","2020","3733739893",""
"10305021B","SONORA RANCH LLC","3430 E SUNRISE DR STE 260","TUCSON","AZ","85718","3240","5206223999","","4640 N KAIN AV","1998","NORELL ANDREW O","3430 E SUNRISE STE 260","TUCSON","AZ","85718","3240","5206223999",""
"103101980","THOMAS RONDA G","4700 N PASEO DE LOS CERRITOS","TUCSON","AZ","85745","9286","5200000000","N/A","3244 W VIA CAMPANA DE COBRE","1998","","","","","","","",""
"103102650","VERONESE VICTORIA & VERONESE JOSEPH &","570 EDGEWATER AVE","OCEANSIDE","CA","92057","4673","5209068845","VICKI_AZ@YAHOO.COM","3457 N AVENIDA ALBOR","1999","ACACIA PARTNERS","7423 E TANQUE VERDE","TUCSON","AZ","85715","3477","5202986600","INFO@ACACIA-PARTNERS.COM"
"103102760","FENNEMORE DAVE & CONTRERAS ANGELICA JT/RS","707 W HEMLOCK WAY","CHANDLER","AZ","85248","4460","5209755700","angel27df@hotmail.com","3215 W VUELTA DE LOS MINEROS","1999","","","","","","","",""
"103122420","HIMES FAMILY LIVING TR","3637 N BANNER MINE DR","TUCSON","AZ","85745","4101","5203310996","brunopaker@q.com","3637 N BANNER MINE DR","1999","COBB PROPERTY MANAGEMENT 02","5650 E 22ND ST","TUCSON","AZ","85711","5525","5203185711","STACIE.DOMINGUEZ@THECOBBTEAM.NET"
"103122500","HARRIGAN DENNIS M & RENEE S CP/RS","8117 CATALINA CT","GILROY","CA","95020","3703","4088420706","FISH4HARRIGANS@YAHOO.COM","3581 N BANNER MINE DR","1999","PROPERTY MANAGEMENT GROUP (THE) 02","6720 E CAMINO PRINCIPAL STE 103","TUCSON","AZ","85715","3909","5207217121","STACY.TPMG@QWESTOFFICE.NET"
"103123030","MARTINEZ DOMINIC F & BURGONIO SHERRI ANN B CP/RS","9515 GAINEY RANCH AVE","LAS VEGAS","NV","89147","8019","7025017026","ADOBOMNK12@GMAIL.COM","4253 W MINE SHAFT WY","2000","FOOTHILLS PROERTIES (RIVER RD) 02","2484 E RIVER RD","TUCSON","AZ","85718","6522","5202992100","ROADRUNNER@TUCSONFOOTHILLS.COM"
"103125720","MEZA SHANE","5031 W VALENCIA RD","TUCSON","AZ","85757","9591","5206687041","sim_shane54@yahoo.com","4107 W STILL CANYON PS","2003","","","","","","","",""
"103125970","BUBAN DARRICK M & JENNIFER C CP/RS","1621 E PLACITA PLUMA","TUCSON","AZ","85718","3948","5209997855","DBUBAN@HOTMAIL.COM","4014 W STILL CANYON PS","2003","OWNER AGENT","","","  ","     ","    ","          ",""
"103126420","NDIRA INC FBO JOAN GOLDEN IRA","144 ANYA RD","CORRALES","NM","87048","8581","3039312591","JOAN.GOLDEN11@GMAIL.COM","4231 W DIAMOND BUTTE CT","2002","RPM RINCON 02","6380 E TANQUE VERDE RD","TUCSON","AZ","85715","3822","5208294500","ADMIN@RPMRINCON.COM"
"103127760","BECKWITH DANIEL J & PAMELA K CP/RS","4000 W ROCKY SPRING DR","TUCSON","AZ","85745","7117","5203432399","","4000 W ROCKY SPRING DR","2002","GENESIS REAL ESTATE & PROPERTY MANAGEMENT 01","231 N BUNKER HILL DR","TUCSON","AZ","85748","3332","5203901270","GENESISTUCSON@GMAIL.COM"
"103128470","LELES JOHN","8857 TAHAN LN","FAIR OAKS","CA","95628","6357","9167300571","DLELES@GOLYON.COM","3414 N GREEN GULCH CT","2000","RPM RINCON 01","4703 N 1ST AVE","TUCSON","AZ","85718","5610","5208294500","ADMIN@RPMRINCON.COM"
"103128620","PHAN TRI HUU & CHAU MAI THANH THI CP/RS","7073 W LONE FLOWER DR","TUCSON","AZ","85743","5040","5208343524","HUU_TRI@YAHOO.COM","3471 N BOYCE SPRING LN","2003","OWNER AGENT","","","  ","     ","    ","          ",""
"10313007B","LEPORE E NICK LIFE EST & HALTEAD WILLIAM R LIFE","3050 N CAMINO DE OESTE","TUCSON","AZ","85745","9205","5207433635","BILLNL.SON@MSN.COM","3030 N CAMINO DE OESTE","1957","OWNER AGENT","","","  ","     ","    ","          ",""
"103172230","RSR HOME LOAN CORP 401K PSP","9375 E SHEA BLVD #100","SCOTSSDALE","AZ","85260","6986","6022280450","SCOTTROVAN@RSRHLC.COM","3022 W PLACITA BERNARDO","1975","OWNER AGENT","","","  ","     ","    ","          ",""
"103173220","HABER JOSEPH H","84 CRANBROOK RD","HAMILTON SQUARE","NJ","8690 ","2516","6095876984","JOE@JOSEPHHABER.COM","","1976","WILLINGHAM LARRY","3251 W MORGAN RD UNIT A","TUCSON","AZ","85745","8864","5208298021",""
"10317437C","NARADIKIAN MARKAR","929 E FORT LOWELL RD","TUCSON","AZ","85719","2111","5208876544","artintucson@gmail.com","2550 N GRANNEN RD","1961","1ST CAPITOL REALTY & MANAGEMENT CO LLC 01","1700 E FORT LOWELL RD STE 107","TUCSON","AZ","85719","2395","5204255480",""
"103181290","BARNES JENNIFER L","44340 OCELOT WAY","CALIFORNIA","MD","20619","7117","5204030364","","2251 W SILVERBELL OASIS WY","1999","FOOTHILLS PROPERTIES (RIVER RD) 01","2484 E RIVER RD","TUCSON","AZ","85718","6522","5202992100","MANAGER@TUCSONFOOTHILLS.COM"
"103181640","DAVIS INVESTMENT HOLDINGS LLC","3373 N DIAMOND BUTTE WAY","TUCSON","AZ","85745","7128","5204887260","PAULANDKELLY520@COMCAST.COM","2234 W SILVERBELL TREE DR","1999","OWNER AGENT","","","  ","     ","    ","          ",""
"103181860","SU PENG & WANG LIRONG CP/RS","1167 E IVANHOE ST","GILBERT","AZ","85295","4840","5209904788","wanglirong79@gmail.com","2384 W SILVERBELL TREE DR","2000","FORT LOWELL REALTY & PROPERTY MANAGEMENT 06","2921 E FORT LOWELL RD STE 203","TUCSON","AZ","85716","1556","5203052907","KATHY@FLRAZ.COM"
"10318317A","SU FAMILY TR","2431 PALOMA ST","PASADENA","CA","91104","4928","6267971696","","2040 W SILVER GRASS PL","2003","NORDSTROM GROUP INC 01","2200 E RIVER RD STE 103","TUCSON","AZ","85718","6515","5202995850","INFO@NORDSTROMGROUP.COM"
"103183530","794EDREAMVIEW85730 LLC","1219 PLAZA DEL TORO","SIERRA VISTA","AZ","85635","4400","5209544948","jhend1@cox.net","2814 N SILVER ISLAND WY","2004","","","","","","","",""
"103183870","SUN WAYNE W","11660 N MAKATI PL","ORO VALLEY","AZ","85737","7326","5209713432","WAYNEWSUN@GMAIL.COM","2870 N RAMIE PL","2004","OWNER AGENT","","","  ","     ","    ","          ",""
"103183880","DAVIS KATHLEEN L","134 GLEN IVES WAY","MADISON","AL","35758","4606","2563251790","KDAVIS999@YAHOO.COM","2874 N RAMIE PL","2004","FOOTHILLS PROPERTIES (RIVER RD) 01","2484 E RIVER RD","TUCSON","AZ","85718","6522","5202992100","MANAGER@TUCSONFOOTHILLS.COM"
"103183900","CLOUSING HAROLD & DEBORAH 2003 TR","20833 MARSHALL WAY","SANTA CLARITA","CA","91350","1950","5627081901","HCLOUSING@MSN.COM","2882 N RAMIE PL","2004","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"103190710","FRIES FARIDA ANNETTE LIVING TR","5560 W EL CAMINO DEL CERRO","TUCSON","AZ","85745","9329","5206240059","AFRIES89101@COX.NET","2957 N MECHICA CT","2006","OWNER AGENT","","","  ","     ","    ","          ",""
"103191080","CUEVA CARMEN E","6233 E COUNTRY CLUB VISTA DR","TUCSON","AZ","85750","1988","5206237514","CARMENECUEVA@GMAIL.COM","2852 N XOCHIPILLI DR","2005","OWNER AGENT","","","  ","     ","    ","          ",""
"103210420","RIESER NIKOLAS","16410 S 12TH ST APT 109","PHOENIX","AZ","85048","4002","4806228919","iuanua13@gmail.com","2474 N IRONWOOD RIDGE DR","1984","","","","","","","",""
"103210930","ALVAREZ ALICIA M","2141 THOMAS AVE","SAN DIEGO","CA","92109","4620","5202377706","","2458 N PALO DULCE DR","1986","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"103213900","JENSEN DEVKI L","2464 N PALO HACHA DR","TUCSON","AZ","85745","1097","5203011389","JAYAMAA@GMAIL.COM","2434 N PALO HACHA DR","1989","OWNER AGENT","","","  ","     ","    ","          ",""
"103215000","JOHNSON NICHOLAS S & INGRID L CP/RS","1125 SYDNEY DR NW","WALKER","MI","49534","3653","6164014850","PLANAHOMES@GMAIL.COM","2205 W PAINTED SUNSET CI","2000","JOHNSON BRUCE","7738 N WADE SPRINGS DR","TUCSON","AZ","85743","6014","7202719622","PLANB68@HOTMAIL.COM"
"103215140","CASTILLON NORMA A CASTILLON REVOC TR","2547 MOUNTAIN RIDGE DR","SIERRA VISTA","AZ","85650","7522","4089168501","CSTNORMA@GMAIL.COM","2135 W PAINTED SUNSET CI","2000","KRASNICK REALTY PROPERTY MANAGEMENT LLC","2120 W INA STE 107","TUCSON","AZ","85741","5511","5207212468","ILLAK@EARTHLINK.NET"
"103215840","NGUYEN NGUYEN T & MY TRANG CP/RS","5062 W WILLOW RUN LN","TUCSON","AZ","85741","3952","5206231904","WING-W7464@YAHOO.COM","2133 W ROUNDWOOD PL","2001","","","","","","","",""
"103215990","MANNG BRIAN & ANNY CP/RS","2426 W SHANNON ST","CHANDLER","AZ","85224","3473","5027408605","N/A","2267 W ROUNDWOOD PL","2001","","","","","","","",""
"103216110","JOHNSON ROBERT C & MARTHA M REVOC TR","99 NORUMBEGA RD APT 242","WESTON","MA","2493 ","2484","5205480433","archaean@cox.net","2166 W ROUNDWOOD PL","2001","TUCSON MANAGEMENT INC 02","PO BOX 35879","TUCSON","AZ","85740","5879","5203276995","TUCSONMANAGEMENT@AOL.COM"
"103216620","CHOWDHARY RAJNISH K & DELANA JO T CP/RS","5818 SAINT MATTHEW DR","NEWARK","CA","94560","4122","5107941975","rajnish1@gmail.com","2636 N SPLITWOOD AV","2001","FOOTHILLS PROPERTIES (RIVER RD) 01","2484 E RIVER RD","TUCSON","AZ","85718","6522","5202992100","MANAGER@TUCSONFOOTHILLS.COM"
"103217420","TILAKARATNE DIMUTHU P & KATHERINE I CP/RS","1214 FIELDSTONE DR","SAVOY","IL","61874","7456","5203440070","DIMUTHUAZ@GMAIL.COM","2418 W SILVER VISTA PL","2009","IMAGINE REALTY SERVCES LTD 01","1955 W GRANT RD STE 100","TUCSON","AZ","85745","1469","5208822865","GINNY@IMAGINEREALTYLTD.COM"
"104012470","HORN HAROLD O","24385 N 93RD DR","PEORIA","AZ","85383","4048","5203605557","harold horn@msn.com","1841 W WATERLEAF DR","2000","OWNER AGENT","","","  ","     ","    ","          ",""
"104012670","SANTOS DANTON C","379 COLERIDGE ST","SAN FRANCISCO","CA","94110","5442","4158302324","","5362 N MESQUITE BOSQUE WY","2000","BLUE FOX PROPERTIES 02","7368 N LA CHOLLA BLVD","TUCSON","AZ","85741","2305","5207807888","MARYANN@BLUEFOXPROPERTIES.COM"
"104012890","DOUGLAS LARRY","2819 E PALM ST","MESA","AZ","85213","2006","5209822056","DRDRAXX@GMAIL.COM","5461 N WILLOW THICKET WY","2000","OWNER AGENT","","","  ","     ","    ","          ",""
"104013110","VALENZUELA JACQUELYN A","5329 N WILLOW THICKET WAY","TUCSON","AZ","85704","1762","5200000000","","5329 N WILLOW THICKET WY","2000","FORT LOWELL REALTY & PROPERTY MANAGEMENT 01","2921 E FORT LOWELL STE 203","TUCSON","AZ","85716","1556","5203088198","MICHELLE@FLRAZ.COM"
"104013450","RAMUS LLC","430 W CAMINO FAIRHAVEN","TUCSON","AZ","85704","6524","5205445650","CAMUS0025@YAHOO.COM","1891 W ALDER GROVE DR","2000","OWNER AGENT","","","  ","     ","    ","          ",""
"104013960","PRATHER EDWARD E","5245 W PASEO DEL CAMPO","TUCSON","AZ","85745","9229","5204050974","eprather@as.arizona.edu","5478 N BRAMBLE BROOK LN","2005","","","","","","","",""
"104015300","SMALL FAMILY TR","18192 N 60TH DR","GLENDALE","AZ","85308","1134","6029784241","STEVENSMALL@AOL.COM","1696 W BLUE HORIZON ST","2006","FORT LOWELL REALTY & PROPERTY MANAGEMENT 06","2921 E FORT LOWELL RD STE 203","TUCSON","AZ","85716","1556","5203052907","KATHY@FLRAZ.COM"
